ds,y
2020-04-03,44298
2020-04-07,45043
2020-04-08,44944
2020-04-09,45279
2020-04-13,46270
2020-04-15,46696
2020-04-16,47203
2020-04-17,45855
2020-04-20,45724
2020-04-21,45383
2020-04-22,46189
2020-04-23,46475
2020-04-24,46550
2020-04-27,46353
2020-04-28,46188
2020-04-29,45439
2020-04-30,44647
2020-05-01,45251
2020-05-04,45762
2020-05-05,45539
2020-05-06,45387
2020-05-07,46147
2020-05-08,45820
2020-05-11,45785
2020-05-12,45635
2020-05-13,45983
2020-05-14,46631
2020-05-15,47352
2020-05-18,46652
2020-05-19,47036
2020-05-20,47129
2020-05-21,46417
2020-05-22,47057
2020-05-25,46953
2020-05-26,46393
2020-05-27,46647
2020-05-28,46474
2020-05-29,46858
2020-06-01,47018
2020-06-02,46796
2020-06-03,46203
2020-06-04,46781
